,Gender,Birthplace,Occupation,continent,industry,count,educationLevel
393591,Male,Russia,Cigar Maker,Europe,Proprietor,1,read & write
888958,Male,Russia,Painter,Europe,artist,1,read & write
233786,Male,England,Packer,Europe,workers,1,read & write
310974,Male,Russia,Operator,Europe,workers,1,read & write
1052430,Female,Austria,Butcher,Europe,Proprietor,1,read & write
131421,Male,Russia,Proprietor,Europe,Proprietor,1,read & write
383035,Male,Hungary,Tailor,Europe,Proprietor,1,read & write
1127149,Male,England,Clerk,Europe,paperworker,1,read & write
547734,Male,Russia,Salesman,Europe,servant,1,read & write
1225880,Male,Ireland,Helper,Europe,Helper,1,read & write
346616,Male,Russia,Cutter,Europe,workers,1,read & write
513938,Female,Italy,Tailor,Europe,Proprietor,1,read & write
503824,Male,Germany,Proprietor,Europe,Proprietor,1,read & write
69454,Female,Russia,Dressmaker,Europe,Proprietor,1,read & write
966557,Female,Ireland,Stenographer,Europe,paperworker,1,read & write
1010429,Male,Germany,Cigar Maker,Europe,Proprietor,1,read & write
656122,Female,Italy,Finisher,Europe,workers,1,read & write
889648,Male,Russia,Salesman,Europe,servant,1,read & write
789515,Male,Germany,Machinist,Europe,engineer,1,read & write
29421,Female,Austria,Cook,Europe,workers,1,read & write
199710,Male,Sweden,Saleslady,Europe,servant,1,read & write
691981,Male,Ireland,Machinist,Europe,engineer,1,read & write
978912,Male,Germany,Tailor,Europe,Proprietor,1,read & write
36167,Male,Italy,Driver,Europe,servant,1,read & write
134039,Male,Russia,Salesman,Europe,servant,1,read & write
599777,Male,Austria,Baker,Europe,Proprietor,1,read & write
1262198,Female,Sweden,Bookkeeper,Europe,paperworker,1,read & write
326899,Male,Romania,Waiter,Europe,servant,1,read & write
1266023,Female,France,Helper,Europe,Helper,1,read & write
338304,Male,Russia,Carpenter,Europe,Proprietor,1,read & write
954931,Male,Ireland,Clerk,Europe,paperworker,1,read & write
363176,Male,Hungary,Carpenter,Europe,Proprietor,1,read & write
962347,Male,Italy,Tailor,Europe,Proprietor,1,read & write
849695,Male,Russia,Operator,Europe,workers,1,read & write
782096,Male,Hungary,Waiter,Europe,servant,1,read & write
832670,Male,Austria,Presser,Europe,workers,1,read & write
317476,Female,Russia,Dressmaker,Europe,Proprietor,1,read & write
427064,Female,Russia,Clerk,Europe,paperworker,1,read & write
936551,Female,Austria,Servant,Europe,servant,1,read & write
920539,Male,Russia,Tailor,Europe,Proprietor,1,read & write
637866,Male,Russia,Salesman,Europe,servant,1,read & write
194589,Male,Belgium,Butcher,Europe,Proprietor,1,read & write
1215162,Male,Ireland,Clerk,Europe,paperworker,1,read & write
12139,Female,Switzerland,Cook,Europe,workers,1,read & write
863466,Female,Austria,Operator,Europe,workers,1,read & write
1172450,Male,Austria,Porter,Europe,servant,1,read & write
1208630,Male,Italy,Carpenter,Europe,Proprietor,1,read & write
358114,Female,Russia,Dressmaker,Europe,Proprietor,1,read & write
225727,Male,Ireland,Baker,Europe,Proprietor,1,read & write
96751,Male,Russia,Operator,Europe,workers,1,read & write
192194,Female,Italy,Finisher,Europe,workers,1,
780926,Male,Austria,Waiter,Europe,servant,1,read & write
709735,Female,Italy,Dressmaker,Europe,Proprietor,1,read & write
388076,Male,Austria,Tailor,Europe,Proprietor,1,only read
638994,Male,Russia,Tailor,Europe,Proprietor,1,read & write
707275,Male,Italy,Laborer,Europe,workers,1,illiterate
375709,Male,Russia,Presser,Europe,workers,1,read & write
69739,Male,Russia,Salesman,Europe,servant,1,read & write
757444,Male,France,Waiter,Europe,servant,1,read & write
157048,Male,Russia,Painter,Europe,artist,1,read & write
673421,Female,Italy,Operator,Europe,workers,1,read & write
576114,Male,Russia,Waiter,Europe,servant,1,read & write
359312,Male,Russia,Painter,Europe,artist,1,read & write
322066,Male,Russia,Operator,Europe,workers,1,read & write
160456,Male,Russia,Painter,Europe,artist,1,read & write
638473,Male,Russia,Operator,Europe,workers,1,read & write
622916,Female,Austria,Servant,Europe,servant,1,read & write
1098222,Female,Ireland,Servant,Europe,servant,1,read & write
997529,Female,Hungary,Dressmaker,Europe,Proprietor,1,read & write
1072079,Female,Austria,Dressmaker,Europe,Proprietor,1,read & write
1133905,Male,Ireland,Driver,Europe,servant,1,read & write
1151997,Male,Ireland,Bartender,Europe,servant,1,read & write
930386,Male,Austria,Clerk,Europe,paperworker,1,read & write
871751,Male,Italy,Barber,Europe,Proprietor,1,read & write
160345,Female,Italy,Operator,Europe,workers,1,read & write
888558,Male,Austria,Tailor,Europe,Proprietor,1,illiterate
1005099,Male,Russia,Tailor,Europe,Proprietor,1,read & write
1141949,Male,Germany,Bartender,Europe,servant,1,read & write
906478,Male,Hungary,Presser,Europe,workers,1,read & write
969013,Male,Italy,Waiter,Europe,servant,1,read & write
470372,Male,Italy,Barber,Europe,Proprietor,1,read & write
814484,Male,Italy,Tailor,Europe,Proprietor,1,read & write
849448,Male,Austria,Tailor,Europe,Proprietor,1,read & write
441883,Female,Russia,Operator,Europe,workers,1,read & write
966013,Female,England,Cutter,Europe,workers,1,read & write
897434,Female,Russia,Operator,Europe,workers,1,read & write
347883,Male,Hungary,Salesman,Europe,servant,1,read & write
732099,Male,Germany,Clerk,Europe,paperworker,1,read & write
456181,Male,Sweden,Carpenter,Europe,Proprietor,1,read & write
845008,Female,Russia,Operator,Europe,workers,1,read & write
594042,Male,Italy,Carpenter,Europe,Proprietor,1,read & write
1091470,Male,Ireland,Helper,Europe,Helper,1,read & write
1104853,Male,Germany,Cigar Maker,Europe,Proprietor,1,read & write
254840,Male,Ireland,Porter,Europe,servant,1,read & write
1081559,Male,Austria,Cigar Maker,Europe,Proprietor,1,read & write
313447,Male,Italy,Tailor,Europe,Proprietor,1,read & write
583189,Male,Italy,Laborer,Europe,workers,1,illiterate
1237402,Female,Ireland,Cook,Europe,workers,1,read & write
541577,Male,Italy,Barber,Europe,Proprietor,1,read & write
919054,Male,Austria,Baker,Europe,Proprietor,1,read & write
984187,Male,Italy,Machinist,Europe,engineer,1,read & write
387586,Male,Austria,Cigar Maker,Europe,Proprietor,1,read & write
990553,Male,Italy,Salesman,Europe,servant,1,illiterate
356694,Female,Russia,Operator,Europe,workers,1,read & write
743198,Male,Germany,Butcher,Europe,Proprietor,1,read & write
194570,Male,Italy,Baker,Europe,Proprietor,1,read & write
562026,Male,Italy,Machinist,Europe,engineer,1,read & write
393010,Male,Austria,Driver,Europe,servant,1,read & write
837768,Female,Austria,Servant,Europe,servant,1,read & write
758853,Male,Finland,Carpenter,Europe,Proprietor,1,read & write
880585,Male,Russia,Cook,Europe,workers,1,illiterate
437872,Male,Poland,Finisher,Europe,workers,1,read & write
1053690,Male,Germany,Driver,Europe,servant,1,read & write
1210865,Female,France,Dressmaker,Europe,Proprietor,1,read & write
541249,Male,Italy,Tailor,Europe,Proprietor,1,read & write
580874,Male,Italy,Helper,Europe,Helper,1,read & write
1091441,Male,Germany,Laborer,Europe,workers,1,read & write
746321,Female,Ireland,Stenographer,Europe,paperworker,1,read & write
652890,Female,Italy,Operator,Europe,workers,1,read & write
441477,Female,Austria,Cutter,Europe,workers,1,read & write
771424,Female,Italy,Finisher,Europe,workers,1,illiterate
660489,Female,Italy,Tailor,Europe,Proprietor,1,illiterate
415880,Male,Russia,Presser,Europe,workers,1,read & write
461714,Female,Ireland,Operator,Europe,workers,1,read & write
588347,Male,Russia,Presser,Europe,workers,1,read & write
329149,Female,Russia,Packer,Europe,workers,1,read & write
337198,Female,Russia,Operator,Europe,workers,1,illiterate
1186755,Male,Ireland,Bartender,Europe,servant,1,read & write
197296,Male,Italy,Machinist,Europe,engineer,1,read & write
159876,Male,Russia,Painter,Europe,artist,1,read & write
237794,Female,Italy,Operator,Europe,workers,1,read & write
951554,Male,Germany,Clerk,Europe,paperworker,1,read & write
473947,Male,Russia,Tailor,Europe,Proprietor,1,read & write
39875,Male,Ireland,Dressmaker,Europe,Proprietor,1,read & write
521030,Male,Italy,Helper,Europe,Helper,1,read & write
876681,Male,Italy,Laborer,Europe,workers,1,read & write
19379,Male,Italy,Machinist,Europe,engineer,1,read & write
508116,Male,Germany,Bookkeeper,Europe,paperworker,1,read & write
197372,Male,Italy,Salesman,Europe,servant,1,only read
163753,Male,Italy,Peddler,Europe,Proprietor,1,read & write
15416,Female,Italy,Packer,Europe,workers,1,read & write
453172,Male,Ireland,Laborer,Europe,workers,1,read & write
1162823,Male,Italy,Cook,Europe,workers,1,read & write
871838,Male,Italy,Baker,Europe,Proprietor,1,read & write
568951,Male,Italy,Tailor,Europe,Proprietor,1,illiterate
404698,Male,Austria,Waiter,Europe,servant,1,read & write
659945,Female,Italy,Operator,Europe,workers,1,read & write
777976,Male,Germany,Operator,Europe,workers,1,read & write
159560,Male,Russia,Cutter,Europe,workers,1,read & write
485958,Male,Russia,Machinist,Europe,engineer,1,read & write
23490,Male,Italy,Driver,Europe,servant,1,read & write
865668,Female,Romania,Dressmaker,Europe,Proprietor,1,read & write
1239955,Female,Austria,Cook,Europe,workers,1,read & write
90058,Male,Russia,Cutter,Europe,workers,1,read & write
667613,Male,Italy,Barber,Europe,Proprietor,1,illiterate
549298,Male,Russia,Painter,Europe,artist,1,read & write
74840,Male,Russia,Carpenter,Europe,Proprietor,1,read & write
49707,Female,Italy,Operator,Europe,workers,1,read & write
625512,Male,Austria,Carpenter,Europe,Proprietor,1,illiterate
803938,Male,Italy,Laborer,Europe,workers,1,read & write
792344,Female,Austria,Presser,Europe,workers,1,read & write
416352,Male,Russia,Peddler,Europe,Proprietor,1,read & write
188826,Male,Italy,Tailor,Europe,Proprietor,1,read & write
724037,Male,Italy,Cook,Europe,workers,1,illiterate
253514,Male,Italy,Tailor,Europe,Proprietor,1,read & write
35127,Male,Germany,Laborer,Europe,workers,1,read & write
172026,Male,Italy,Laborer,Europe,workers,1,illiterate
608324,Female,Austria,Operator,Europe,workers,1,read & write
679751,Male,Italy,Bartender,Europe,servant,1,read & write
644462,Male,Russia,Carpenter,Europe,Proprietor,1,read & write
313732,Male,Ireland,Cook,Europe,workers,1,read & write
182437,Male,Ireland,Clerk,Europe,paperworker,1,read & write
1003982,Female,Ireland,Salesman,Europe,servant,1,read & write
1007175,Male,Ireland,Laborer,Europe,workers,1,read & write
726312,Male,Norway,Salesman,Europe,servant,1,read & write
955571,Male,Germany,Painter,Europe,artist,1,illiterate
980695,Male,Germany,Helper,Europe,Helper,1,read & write
926966,Female,Russia,Operator,Europe,workers,1,read & write
554160,Male,Italy,Laborer,Europe,workers,1,illiterate
356884,Female,Austria,Finisher,Europe,workers,1,read & write
360666,Male,Russia,Operator,Europe,workers,1,read & write
1159358,Female,Ireland,Operator,Europe,workers,1,read & write
204244,Male,Ireland,Driver,Europe,servant,1,read & write
1140546,Female,Germany,Dressmaker,Europe,Proprietor,1,read & write
220960,Female,Ireland,Operator,Europe,workers,1,read & write
1057217,Male,Hungary,Packer,Europe,workers,1,read & write
714178,Male,Italy,Cook,Europe,workers,1,read & write
757664,Male,England,Salesman,Europe,servant,1,read & write
711367,Male,Italy,Tailor,Europe,Proprietor,1,read & write
1097326,Female,Ireland,Dressmaker,Europe,Proprietor,1,read & write
819881,Male,Austria,Laborer,Europe,workers,1,illiterate
194295,Female,Ireland,Servant,Europe,servant,1,read & write
769034,Male,Italy,Waiter,Europe,servant,1,read & write
1136363,Female,France,Dressmaker,Europe,Proprietor,1,read & write
930735,Female,Hungary,Dressmaker,Europe,Proprietor,1,read & write
507520,Male,Germany,Machinist,Europe,engineer,1,read & write
1260732,Female,Ireland,Cook,Europe,workers,1,read & write
7746,Male,Turkey,Peddler,Europe,Proprietor,1,read & write
580999,Male,Italy,Laborer,Europe,workers,1,illiterate
676250,Female,Italy,Housework,Europe,servant,1,read & write
871278,Male,Russia,Presser,Europe,workers,1,read & write
980278,Male,Ireland,Baker,Europe,Proprietor,1,read & write
1029995,Male,Germany,Bookkeeper,Europe,paperworker,1,read & write
964889,Female,Germany,Operator,Europe,workers,1,read & write
479216,Male,Russia,Porter,Europe,servant,1,read & write
272411,Female,Romania,Operator,Europe,workers,1,read & write
1252056,Female,Ireland,Cook,Europe,workers,1,read & write
287114,Female,Romania,Finisher,Europe,workers,1,illiterate
777209,Male,Italy,Operator,Europe,workers,1,read & write
607092,Male,Austria,Tailor,Europe,Proprietor,1,read & write
771786,Male,Russia,Cutter,Europe,workers,1,read & write
427303,Male,Austria,Operator,Europe,workers,1,read & write
801201,Female,Austria,Dressmaker,Europe,Proprietor,1,read & write
689509,Male,Ireland,Laborer,Europe,workers,1,read & write
150768,Male,Russia,Salesman,Europe,servant,1,read & write
404610,Female,Hungary,Operator,Europe,workers,1,read & write
979837,Male,Germany,Cigar Maker,Europe,Proprietor,1,read & write
936470,Male,Russia,Tailor,Europe,Proprietor,1,read & write
9684,Female,Germany,Saleslady,Europe,servant,1,read & write
332265,Female,Russia,Dressmaker,Europe,Proprietor,1,read & write
975307,Female,Ireland,Cook,Europe,workers,1,read & write
968266,Male,Russia,Waiter,Europe,servant,1,read & write
647787,Male,Italy,Tailor,Europe,Proprietor,1,read & write
902117,Male,Russia,Operator,Europe,workers,1,read & write
895203,Male,Russia,Cutter,Europe,workers,1,read & write
582053,Male,Italy,Painter,Europe,artist,1,illiterate
550184,Male,Russia,Peddler,Europe,Proprietor,1,read & write
591193,Male,Italy,Tailor,Europe,Proprietor,1,illiterate
1079164,Female,Ireland,Clerk,Europe,paperworker,1,read & write
289354,Male,Russia,Clerk,Europe,paperworker,1,read & write
418184,Female,Russia,Dressmaker,Europe,Proprietor,1,read & write
169379,Male,Italy,Laborer,Europe,workers,1,illiterate
154722,Male,Italy,Barber,Europe,Proprietor,1,read & write
973159,Male,Russia,Cutter,Europe,workers,1,read & write
702251,Female,Italy,Finisher,Europe,workers,1,illiterate
604602,Male,Austria,Presser,Europe,workers,1,read & write
611105,Male,Ireland,Clerk,Europe,paperworker,1,read & write
1002432,Female,Ireland,Operator,Europe,workers,1,read & write
749752,Female,Ireland,Clerk,Europe,paperworker,1,read & write
724696,Female,Italy,Dressmaker,Europe,Proprietor,1,read & write
878737,Male,Austria,Clerk,Europe,paperworker,1,read & write
808316,Male,Russia,Operator,Europe,workers,1,read & write
1061790,Male,Germany,Bartender,Europe,servant,1,read & write
698275,Female,Ireland,Saleslady,Europe,servant,1,read & write
487228,Female,Russia,Dressmaker,Europe,Proprietor,1,read & write
508913,Male,Germany,Clerk,Europe,paperworker,1,read & write
1096747,Male,Italy,Tailor,Europe,Proprietor,1,read & write
256550,Male,Ireland,Laborer,Europe,workers,1,read & write
419590,Male,Russia,Presser,Europe,workers,1,read & write
697126,Female,Ireland,Servant,Europe,servant,1,
938602,Male,Russia,Operator,Europe,workers,1,read & write
169698,Male,Italy,Painter,Europe,artist,1,read & write
601086,Male,Russia,Cutter,Europe,workers,1,illiterate
438915,Male,Austria,Salesman,Europe,servant,1,read & write
336669,Male,Austria,Tailor,Europe,Proprietor,1,read & write
916557,Male,Italy,Barber,Europe,Proprietor,1,read & write
889051,Male,Austria,Tailor,Europe,Proprietor,1,read & write
921011,Male,Russia,Tailor,Europe,Proprietor,1,read & write
771546,Female,Russia,Bookkeeper,Europe,paperworker,1,read & write
417590,Male,Russia,Presser,Europe,workers,1,read & write
236152,Male,France,Bartender,Europe,servant,1,read & write
293681,Male,Russia,Clerk,Europe,paperworker,1,read & write
789101,Male,Ireland,Cutter,Europe,workers,1,read & write
875803,Male,Italy,Laborer,Europe,workers,1,read & write
75463,Female,Russia,Tailor,Europe,Proprietor,1,illiterate
1109327,Male,Russia,Driver,Europe,servant,1,read & write
684686,Male,Germany,Bartender,Europe,servant,1,read & write
184274,Male,Germany,Salesman,Europe,servant,1,read & write
443531,Male,Russia,Presser,Europe,workers,1,read & write
779413,Male,Italy,Tailor,Europe,Proprietor,1,read & write
546405,Male,Hungary,Cigar Maker,Europe,Proprietor,1,read & write
224584,Female,Ireland,Dressmaker,Europe,Proprietor,1,read & write
435897,Female,Russia,Finisher,Europe,workers,1,
928299,Male,Italy,Tailor,Europe,Proprietor,1,read & write
527830,Male,Italy,Barber,Europe,Proprietor,1,illiterate
1091527,Male,Ireland,Laborer,Europe,workers,1,read & write
893318,Female,Russia,Housework,Europe,servant,1,illiterate
560682,Male,Italy,Driver,Europe,servant,1,read & write
547259,Male,Poland,Driver,Europe,servant,1,read & write
998627,Male,Ireland,Driver,Europe,servant,1,read & write
500495,Male,Hungary,Waiter,Europe,servant,1,read & write
904106,Male,Russia,Presser,Europe,workers,1,read & write
21568,Male,Italy,Barber,Europe,Proprietor,1,illiterate
247801,Female,Ireland,Laborer,Europe,workers,1,read & write
1227268,Female,Ireland,Servant,Europe,servant,1,read & write
1232492,Female,Ireland,Cook,Europe,workers,1,read & write
415895,Male,Russia,Carpenter,Europe,Proprietor,1,
1158437,Male,Ireland,Driver,Europe,servant,1,read & write
211691,Male,Germany,Clerk,Europe,paperworker,1,read & write
58827,Male,Italy,Driver,Europe,servant,1,read & write
113288,Male,Russia,Presser,Europe,workers,1,read & write
167066,Male,Italy,Laborer,Europe,workers,1,read & write
680304,Male,Italy,Laborer,Europe,workers,1,illiterate
1012670,Male,Ireland,Laborer,Europe,workers,1,read & write
1199485,Male,Ireland,Driver,Europe,servant,1,read & write
947763,Male,Ireland,Laborer,Europe,workers,1,read & write
498430,Female,Italy,Presser,Europe,workers,1,read & write
825449,Female,Russia,Finisher,Europe,workers,1,read & write
282145,Male,Russia,Baker,Europe,Proprietor,1,illiterate
1233069,Female,Austria,Cook,Europe,workers,1,read & write
163417,Male,Italy,Laborer,Europe,workers,1,illiterate
532129,Male,Italy,Laborer,Europe,workers,1,illiterate
921170,Female,Russia,Stenographer,Europe,paperworker,1,read & write
621154,Male,Austria,Tailor,Europe,Proprietor,1,read & write
325005,Male,Austria,Operator,Europe,workers,1,read & write
280614,Male,Russia,Presser,Europe,workers,1,read & write
869104,Male,Russia,Operator,Europe,workers,1,read & write
171688,Female,Ireland,Servant,Europe,servant,1,read & write
917557,Male,Austria,Bartender,Europe,servant,1,read & write
385110,Male,Austria,Operator,Europe,workers,1,illiterate
300120,Male,Scotland,Salesman,Europe,servant,1,read & write
386583,Female,Austria,Housework,Europe,servant,1,read & write
1168014,Male,Ireland,Laborer,Europe,workers,1,read & write
182071,Male,Ireland,Clerk,Europe,paperworker,1,read & write
842657,Male,Italy,Baker,Europe,Proprietor,1,read & write
505560,Male,Hungary,Cutter,Europe,workers,1,read & write
180879,Male,Italy,Driver,Europe,servant,1,read & write
909066,Male,Austria,Butcher,Europe,Proprietor,1,read & write
68478,Male,Russia,Operator,Europe,workers,1,read & write
812508,Male,Hungary,Laborer,Europe,workers,1,read & write
684856,Male,Germany,Bartender,Europe,servant,1,read & write
352070,Male,Austria,Tailor,Europe,Proprietor,1,read & write
90639,Male,Russia,Salesman,Europe,servant,1,read & write
165130,Female,Italy,Housework,Europe,servant,1,illiterate
960107,Male,Ireland,Bartender,Europe,servant,1,read & write
437925,Female,Austria,Stenographer,Europe,paperworker,1,read & write
696478,Female,Ireland,Cook,Europe,workers,1,read & write
608299,Male,Russia,Operator,Europe,workers,1,read & write
188649,Male,Italy,Butcher,Europe,Proprietor,1,read & write
349664,Male,Russia,Peddler,Europe,Proprietor,1,read & write
1208658,Male,England,Salesman,Europe,servant,1,read & write
662101,Male,Italy,Laborer,Europe,workers,1,illiterate
747924,Male,Ireland,Driver,Europe,servant,1,read & write
408119,Male,Austria,Cutter,Europe,workers,1,read & write
118208,Female,Russia,Servant,Europe,servant,1,read & write
246357,Female,Germany,Saleslady,Europe,servant,1,read & write
12428,Female,Germany,Cook,Europe,workers,1,read & write
91812,Male,Italy,Laborer,Europe,workers,1,illiterate
149374,Female,Russia,Finisher,Europe,workers,1,illiterate
297409,Female,Ireland,Laborer,Europe,workers,1,read & write
186673,Male,Ireland,Salesman,Europe,servant,1,read & write
304193,Male,Poland,Carpenter,Europe,Proprietor,1,read & write
606951,Male,Russia,Peddler,Europe,Proprietor,1,read & write
979628,Male,Germany,Helper,Europe,Helper,1,read & write
388618,Male,Austria,Peddler,Europe,Proprietor,1,read & write
863481,Male,Austria,Peddler,Europe,Proprietor,1,only read
52354,Female,Italy,Packer,Europe,workers,1,illiterate
1086527,Male,Austria,Carpenter,Europe,Proprietor,1,read & write
1083336,Female,Hungary,Cigar Maker,Europe,Proprietor,1,read & write
688035,Male,Italy,Laborer,Europe,workers,1,illiterate
818867,Female,Russia,Operator,Europe,workers,1,read & write
504366,Male,Germany,Proprietor,Europe,Proprietor,1,read & write
380921,Female,Russia,Finisher,Europe,workers,1,read & write
191758,Male,Italy,Tailor,Europe,Proprietor,1,read & write
925989,Male,Italy,Barber,Europe,Proprietor,1,read & write
765984,Male,Ireland,Laborer,Europe,workers,1,read & write
1069151,Male,Hungary,Laborer,Europe,workers,1,read & write
1233801,Female,Bohemia,Servant,Europe,servant,1,read & write
111225,Male,Russia,Operator,Europe,workers,1,illiterate
727185,Female,Ireland,Cook,Europe,workers,1,read & write
433969,Female,Russia,Bookkeeper,Europe,paperworker,1,read & write
676498,Female,Italy,Housework,Europe,servant,1,illiterate
906734,Male,Russia,Proprietor,Europe,Proprietor,1,read & write
160993,Male,Russia,Tailor,Europe,Proprietor,1,illiterate
875160,Male,Russia,Operator,Europe,workers,1,read & write
75718,Female,Russia,Operator,Europe,workers,1,read & write
67585,Male,Russia,Clerk,Europe,paperworker,1,only read
874756,Female,Austria,Servant,Europe,servant,1,read & write
1003682,Male,Ireland,Driver,Europe,servant,1,read & write
831845,Female,Austria,Operator,Europe,workers,1,read & write
1137695,Male,Germany,Laborer,Europe,workers,1,read & write
848932,Male,Hungary,Cutter,Europe,workers,1,read & write
827598,Male,Italy,Carpenter,Europe,Proprietor,1,read & write
943780,Male,Ireland,Driver,Europe,servant,1,read & write
889758,Male,Austria,Clerk,Europe,paperworker,1,read & write
1048785,Male,Austria,Machinist,Europe,engineer,1,read & write
708432,Male,Italy,Porter,Europe,servant,1,illiterate
866595,Female,Austria,Finisher,Europe,workers,1,read & write
538159,Female,Italy,Cigar Maker,Europe,Proprietor,1,illiterate
788128,Female,Romania,Operator,Europe,workers,1,read & write
1234826,Male,Ireland,Driver,Europe,servant,1,read & write
607407,Male,Austria,Presser,Europe,workers,1,read & write
614800,Male,Austria,Operator,Europe,workers,1,illiterate
870636,Male,Romania,Tailor,Europe,Proprietor,1,read & write
486003,Male,Russia,Cigar Maker,Europe,Proprietor,1,read & write
836464,Male,Austria,Carpenter,Europe,Proprietor,1,read & write
114451,Male,Russia,Peddler,Europe,Proprietor,1,illiterate
863666,Male,Austria,Operator,Europe,workers,1,read & write
782445,Male,Austria,Tailor,Europe,Proprietor,1,illiterate
524714,Male,Italy,Tailor,Europe,Proprietor,1,read & write
679068,Female,Italy,Housework,Europe,servant,1,read & write
80086,Male,Russia,Cigar Maker,Europe,Proprietor,1,read & write
564967,Male,Ireland,Laborer,Europe,workers,1,read & write
76264,Male,Russia,Tailor,Europe,Proprietor,1,read & write
143173,Male,Russia,Tailor,Europe,Proprietor,1,only read
439086,Male,Russia,Tailor,Europe,Proprietor,1,read & write
969098,Female,Italy,Helper,Europe,Helper,1,read & write
918700,Male,Russia,Carpenter,Europe,Proprietor,1,read & write
1212360,Male,Ireland,Laborer,Europe,workers,1,read & write
879060,Male,Russia,Baker,Europe,Proprietor,1,read & write
542699,Male,Italy,Laborer,Europe,workers,1,illiterate
266604,Female,Russia,Tailor,Europe,Proprietor,1,illiterate
1121945,Male,Russia,Painter,Europe,artist,1,read & write
334994,Male,Russia,Barber,Europe,Proprietor,1,read & write
249221,Female,England,Painter,Europe,artist,1,read & write
768165,Male,England,Bookkeeper,Europe,paperworker,1,read & write
863897,Male,Russia,Salesman,Europe,servant,1,read & write
131173,Male,Russia,Operator,Europe,workers,1,read & write
776703,Male,Italy,Carpenter,Europe,Proprietor,1,read & write
1041622,Female,Austria,Painter,Europe,artist,1,read & write
812619,Male,Russia,Operator,Europe,workers,1,read & write
691307,Male,Italy,Driver,Europe,servant,1,read & write
116564,Female,Russia,Bookkeeper,Europe,paperworker,1,read & write
846494,Male,Austria,Presser,Europe,workers,1,read & write
79020,Male,Russia,Operator,Europe,workers,1,read & write
240039,Male,Ireland,Stenographer,Europe,paperworker,1,read & write
396854,Male,Russia,Operator,Europe,workers,1,read & write
1091788,Male,Greece,Laborer,Europe,workers,1,illiterate
808356,Female,Russia,Laborer,Europe,workers,1,read & write
590412,Male,Italy,Carpenter,Europe,Proprietor,1,read & write
75462,Male,Russia,Operator,Europe,workers,1,read & write
1133568,Male,Ireland,Driver,Europe,servant,1,read & write
637426,Male,Russia,Presser,Europe,workers,1,read & write
39395,Female,Ireland,Operator,Europe,workers,1,read & write
565251,Male,Italy,Painter,Europe,artist,1,read & write
610733,Male,Russia,Tailor,Europe,Proprietor,1,read & write
